DT_REG_IC,NM_IC,VL_IC,VL_VRC_IC,DT_REF
2022-08-01,FIPEZAP,146.7527658884031,0.5963047371409248,2024-06-02
2022-09-01,FIPEZAP,147.62742837069965,0.5960109010563208,2024-06-02
2022-10-01,FIPEZAP,148.49533313771065,0.5879021104612363,2024-06-02
2022-11-01,FIPEZAP,149.18177448350824,0.46226459195252195,2024-06-02
2022-12-01,FIPEZAP,149.6358672710772,0.30438891690428727,2024-06-02
2023-01-01,FIPEZAP,150.08088331882152,0.29739931732955865,2024-06-02
2023-02-01,FIPEZAP,150.6472649749228,0.37738427678232916,2024-06-02
2023-03-01,FIPEZAP,151.28701001380102,0.42466422406322696,2024-06-02
2023-04-01,FIPEZAP,151.96203144798326,0.44618598392596326,2024-06-02
2023-05-01,FIPEZAP,152.65463877831385,0.4557765671668269,2024-06-02
2023-06-01,FIPEZAP,153.4395475098522,0.5141728661637313,2024-06-02
2023-07-01,FIPEZAP,154.07107047694274,0.41157770427471124,2024-06-02
2023-08-01,FIPEZAP,154.74215036359126,0.43556514832482074,2024-06-02
2023-09-01,FIPEZAP,155.43792769867744,0.449636594458167,2024-06-02
2023-10-01,FIPEZAP,156.26969235609525,0.5351104905555606,2024-06-02
2023-11-01,FIPEZAP,156.85430999548248,0.37410813995528697,2024-06-02
2023-12-01,FIPEZAP,157.30714941280866,0.2887006530704961,2024-06-02
2024-01-01,FIPEZAP,157.87411497932032,0.3604194524076229,2024-06-02
2024-02-01,FIPEZAP,158.6487698600632,0.49067884297837916,2024-06-02
2024-03-01,FIPEZAP,159.663782875621,0.6397862501254163,2024-06-02
2024-04-01,FIPEZAP,160.72217665276702,0.6628890773372969,2024-06-02
